,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC,Other
Passenger,1.0,0.32813674211502075,0.4519893229007721,0.5224329233169556,0.5259145498275757,0.8839629888534546,0.8570680618286133,0.3890247941017151,0.5825798511505127,0.531895637512207,0.8074675798416138,0.6003936529159546,0.5948896408081055,0.3547625243663788
Freight,0.43909549713134766,1.0,0.43920642137527466,0.5354897379875183,0.5213622450828552,0.44696053862571716,0.3899506628513336,0.6022452116012573,0.5630353093147278,0.5355283617973328,0.38376036286354065,0.5363299250602722,0.5061551332473755,0.5347468256950378
Empty,0.45088669657707214,0.32450997829437256,1.0,0.5067995190620422,0.5193880796432495,0.45783329010009766,0.4252708852291107,0.3855782747268677,0.5867266654968262,0.5160544514656067,0.5496467351913452,0.4896554946899414,0.8926697969436646,0.36519843339920044
Long,0.5246562957763672,0.6100722551345825,0.5073056221008301,1.0,0.5345189571380615,0.7178623676300049,0.5441120266914368,0.6004079580307007,0.6190361976623535,0.7400537729263306,0.5008082389831543,0.665568470954895,0.31092369556427,0.4259374737739563
Reinforced,0.5291244983673096,0.5677476525306702,0.5213003754615784,0.5352963805198669,1.0,0.5233126878738403,0.5490010976791382,0.5700329542160034,0.6012780666351318,0.5480051040649414,0.7716890573501587,0.5854854583740234,0.5310742855072021,0.389703631401062
LongPassenger,0.6726794242858887,0.43268927931785583,0.48146215081214905,0.5891440510749817,0.5093288421630859,1.0,0.7263006567955017,0.4576926827430725,0.5324368476867676,0.5994303226470947,0.6068252921104431,0.605587363243103,0.5137971043586731,0.41583144664764404
2Passenger,0.5664447546005249,0.44221290946006775,0.48640626668930054,0.5074683427810669,0.5081133842468262,0.5936362743377686,1.0,0.4669087827205658,0.527206540107727,0.5115067958831787,0.5487264394760132,0.5406286120414734,0.4963870942592621,0.4676130712032318
2Freight,0.37589573860168457,0.8226543664932251,0.37491416931152344,0.6021616458892822,0.5696865320205688,0.394797682762146,0.30113255977630615,1.0,0.7358180284500122,0.6268103718757629,0.38764482736587524,0.762140154838562,0.3627329468727112,0.38340234756469727
3Wagons,0.5955406427383423,0.7057936191558838,0.5980858206748962,0.6253002882003784,0.6042596101760864,0.5834453701972961,0.6691523790359497,0.7439667582511902,1.0,0.6799163818359375,0.5636166334152222,0.8883817791938782,0.6148234605789185,0.1421019285917282
2Long,0.5228480100631714,0.5718168020248413,0.5112422108650208,0.6564533114433289,0.5305978655815125,0.6583744287490845,0.5442957878112793,0.581229031085968,0.6113970279693604,1.0,0.5119366645812988,0.6552108526229858,0.45717257261276245,0.37711086869239807
TypeA,0.7051017880439758,0.2811945974826813,0.5323742628097534,0.5004905462265015,0.6612606048583984,0.6584502458572388,0.6746729016304016,0.4329802989959717,0.536679744720459,0.5111156105995178,1.0,0.5286333560943604,0.5409327745437622,0.36523815989494324
TypeB,0.6160242557525635,0.6184788942337036,0.48831331729888916,0.6740921139717102,0.5879064798355103,0.7713334560394287,0.7523276805877686,0.7709039449691772,0.8879600763320923,0.7504075765609741,0.5496072769165039,1.0,0.47304123640060425,0.1014268770813942
TypeC,0.5549596548080444,0.5100598931312561,0.7223266363143921,0.40036290884017944,0.5160144567489624,0.5177689790725708,0.4887547492980957,0.4289063513278961,0.5574832558631897,0.4653718173503876,0.535540759563446,0.4864891469478607,1.0,0.3868265151977539
Other,0.346682608127594,0.6035051345825195,0.36089375615119934,0.4288671612739563,0.39639994502067566,0.30243438482284546,0.3162730038166046,0.3899369239807129,0.17344404757022858,0.31890401244163513,0.28673994541168213,0.1359357237815857,0.29373180866241455,1.0
