,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC,Other
Passenger,1.0,-0.20461924374103546,-0.09711773693561554,0.04703664407134056,0.05494537949562073,0.5149855017662048,0.30806034803390503,-0.2347126007080078,0.17764829099178314,0.05399082973599434,0.5022435784339905,0.21585282683372498,0.14443129301071167,-0.29844555258750916
Freight,-0.20461924374103546,1.0,-0.20657870173454285,0.1250028759241104,0.0760851725935936,-0.11950099468231201,-0.1594921201467514,0.363262414932251,0.22779151797294617,0.10102546215057373,-0.31895989179611206,0.1312149465084076,0.01573791168630123,0.11994130164384842
Empty,-0.09711773693561554,-0.20657870173454285,0.9999999403953552,0.014096048660576344,0.04064345359802246,-0.05591708794236183,-0.06374471634626389,-0.23927004635334015,0.1844630390405655,0.026869166642427444,0.08018176257610321,-0.0219902154058218,0.5909346342086792,-0.2738740146160126
Long,0.04703664407134056,0.1250028759241104,0.014096048660576344,1.0,0.06981104612350464,0.27871939539909363,0.036301203072071075,0.2025618553161621,0.2442561537027359,0.3875935673713684,0.0012592659331858158,0.33955368399620056,-0.27451056241989136,-0.14516587555408478
Reinforced,0.05494537949562073,0.0760851725935936,0.04064345359802246,0.06981104612350464,0.9999999403953552,0.029494473710656166,0.03987802192568779,0.13971905410289764,0.20551609992980957,0.07665128260850906,0.4186299443244934,0.17337509989738464,0.04461553692817688,-0.21379150450229645
LongPassenger,0.5149855017662048,-0.11950099468231201,-0.05591708794236183,0.27871939539909363,0.029494473710656166,1.0000001192092896,0.29113537073135376,-0.13342908024787903,0.10405202955007553,0.25097590684890747,0.26020365953445435,0.3385225534439087,0.03131520748138428,-0.257905513048172
2Passenger,0.30806034803390503,-0.1594921201467514,-0.06374471634626389,0.036301203072071075,0.03987802192568779,0.29113537073135376,1.0000001192092896,-0.1622438132762909,0.1356768161058426,0.04515319690108299,0.18451224267482758,0.2025015950202942,-0.012748001143336296,-0.15427708625793457
2Freight,-0.2347126007080078,0.363262414932251,-0.23927004635334015,0.2025618553161621,0.13971905410289764,-0.13342908024787903,-0.1622438132762909,0.9999999403953552,0.47971534729003906,0.2029845118522644,-0.1735512614250183,0.5329720377922058,-0.19757339358329773,-0.22656656801700592
3Wagons,0.17764829099178314,0.22779151797294617,0.1844630390405655,0.2442561537027359,0.20551609992980957,0.10405202955007553,0.1356768161058426,0.47971534729003906,1.0,0.283140629529953,0.09661135822534561,0.7763417363166809,0.16248595714569092,-0.6837361454963684
2Long,0.05399082973599434,0.10102546215057373,0.026869166642427444,0.3875935673713684,0.07665128260850906,0.25097590684890747,0.04515319690108299,0.2029845118522644,0.283140629529953,0.9999998807907104,0.023037659004330635,0.3942891061306,-0.07702039927244186,-0.2983603775501251
TypeA,0.5022435784339905,-0.31895989179611206,0.08018176257610321,0.0012592659331858158,0.4186299443244934,0.26020365953445435,0.18451224267482758,-0.1735512614250183,0.09661135822534561,0.023037659004330635,0.9999998807907104,0.07537699490785599,0.07628320902585983,-0.3390534818172455
TypeB,0.21585282683372498,0.1312149465084076,-0.0219902154058218,0.33955368399620056,0.17337509989738464,0.3385225534439087,0.2025015950202942,0.5329720377922058,0.7763417363166809,0.3942891061306,0.07537699490785599,1.0000001192092896,-0.03816983848810196,-0.7618562579154968
TypeC,0.14443129301071167,0.01573791168630123,0.5909346342086792,-0.27451056241989136,0.04461553692817688,0.03131520748138428,-0.012748001143336296,-0.19757339358329773,0.16248595714569092,-0.07702039927244186,0.07628320902585983,-0.03816983848810196,0.9999998807907104,-0.305575430393219
Other,-0.29844555258750916,0.11994130164384842,-0.2738740146160126,-0.14516587555408478,-0.21379150450229645,-0.257905513048172,-0.15427708625793457,-0.22656656801700592,-0.6837361454963684,-0.2983603775501251,-0.3390534818172455,-0.7618562579154968,-0.305575430393219,1.0000001192092896
