,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC,Other
Passenger,1.0,0.3691571354866028,0.6524909138679504,0.7116119265556335,0.7056946158409119,0.767926037311554,0.7141361832618713,0.5529038906097412,0.7669550180435181,0.6963748931884766,0.7915568947792053,0.787874698638916,0.7119969725608826,0.5819065570831299
Freight,0.04508534073829651,1.0,0.04345249384641647,0.12698261439800262,0.10130646824836731,0.0719863548874855,0.07431928813457489,0.20449046790599823,0.14675451815128326,0.09716004133224487,0.04295629635453224,0.12108784168958664,0.08536262810230255,0.10802111029624939
Empty,0.6391335129737854,0.3485040068626404,1.0,0.6784770488739014,0.6862661838531494,0.6609582901000977,0.663884162902832,0.5348217487335205,0.7571068406105042,0.6763039827346802,0.6874980330467224,0.6594707369804382,0.7853395342826843,0.5752483606338501
Long,0.40377187728881836,0.589946985244751,0.3930165767669678,1.0,0.4168780446052551,0.43572476506233215,0.39190003275871277,0.5069573521614075,0.5075393915176392,0.4801075756549835,0.38847944140434265,0.5592378973960876,0.3327351212501526,0.33605244755744934
Reinforced,0.6029600501060486,0.7087365388870239,0.5986143946647644,0.6277517080307007,1.0,0.5896486043930054,0.5886761546134949,0.6673961877822876,0.6861013770103455,0.6029427647590637,0.6794599890708923,0.6728737354278564,0.5936779379844666,0.5069072842597961
LongPassenger,1.0,0.767549991607666,0.878693699836731,1.0,0.898673951625824,1.0,0.9099192023277283,0.8408827185630798,0.9234431385993958,0.9289921522140503,0.9282354116439819,1.0,0.8949699997901917,0.8316628932952881
2Passenger,1.0,0.8521114587783813,0.9490609765052795,0.9671669006347656,0.9647697806358337,0.9784557223320007,1.0,0.918889045715332,0.9853050708770752,0.9624342322349548,0.9750480055809021,1.0,0.9569687843322754,0.9352261424064636
2Freight,0.33021795749664307,1.0,0.3260940909385681,0.5336169600486755,0.46651220321655273,0.3856610953807831,0.3919179141521454,1.0,0.6450358033180237,0.45716387033462524,0.3693673610687256,0.6794156432151794,0.3683466911315918,0.3265193700790405
3Wagons,0.5590648651123047,0.8759104013442993,0.5634201169013977,0.6520324945449829,0.5853409171104431,0.5169182419776917,0.5129134058952332,0.787272572517395,1.0,0.5675996541976929,0.5209346413612366,0.8999326229095459,0.532395601272583,0.24673154950141907
2Long,0.8229953646659851,0.9401949048042297,0.8159791827201843,1.0,0.8339858651161194,0.8431129455566406,0.8122811913490295,0.9046387076377869,0.9202463626861572,1.0,0.8127321600914001,0.968903660774231,0.7960002422332764,0.7220411896705627
TypeA,0.9549146890640259,0.4243118464946747,0.8467140197753906,0.8259573578834534,0.9593444466590881,0.8599237203598022,0.840019702911377,0.7460877895355225,0.8621311783790588,0.8296130299568176,1.0,0.8549368977546692,0.8373640179634094,0.7304763197898865
TypeB,0.5567638278007507,0.7006325721740723,0.47576475143432617,0.6964944005012512,0.5565135478973389,0.5426668524742126,0.5046554207801819,0.8038933277130127,0.8724319934844971,0.5793489217758179,0.5008013844490051,1.0,0.47556644678115845,0.2028537541627884
TypeC,0.8880508542060852,0.8717729449272156,1.0,0.7314177751541138,0.8666402697563171,0.857210636138916,0.8523903489112854,0.7692463397979736,0.9109653234481812,0.8400760293006897,0.8657481670379639,0.8393768668174744,1.0,0.7736530303955078
Other,0.5511218905448914,0.8376816511154175,0.5562021732330322,0.5609300136566162,0.5618899464607239,0.6048687696456909,0.6325460076332092,0.5177884697914124,0.3205729126930237,0.578631579875946,0.5734798908233643,0.2718714475631714,0.5874636173248291,1.0
