,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,1.29799548336238,4.748000781249947,1.3083769730066483,1.9699735945772054,1.4420935116136677,1.078198957395081,1.373945152564129,2.016991116371562,2.50989196544007
E1,1.0529316790536638,1.936271012450454,1.0469691016222427,1.088900678221717,1.0227214073098934,1.642179508904586,3.1757328333807004,1.0965993401730805,1.2264751978630886
E2,1.6270907449822116,1.123544345576183,1.6058456600531732,1.1517885637731584,1.4350330572566414,3.2722536151586814,6.89181216988679,1.1391728165426784,1.070666176687855
E3,1.196231100282649,4.113851400345967,1.2082421494854305,1.7478219002976745,1.3056834419490633,1.0914983172645378,1.525473206396309,1.7829320442471335,2.1988431275512967
E4,2.3882289725148276,10.0391996245042,2.416622494484547,4.030878932732599,2.7481873218582678,1.4759177589443342,1.1388829581807458,4.116794643568956,5.211336995465401
E5,1.5346886104075272,5.896750078936553,1.5527595901654687,2.4129164607838125,1.7240893657044913,1.1593448558671149,1.2981856115165187,2.4608308869783198,3.082879883632677
E6,1.014176916159243,2.7891897973780937,1.0162981000116968,1.301500852934701,1.0543361539567233,1.2107346657445144,2.060849206476206,1.3207605379397163,1.576743408411379
E7,1.2108762288526158,4.219281615597792,1.2230625976405476,1.782868353728752,1.3262921356846809,1.0864030056003369,1.4906786101539622,1.8159509350123946,2.244252382652072
E8,1.2642437242447744,4.556245818516987,1.2751685502762804,1.9229546034874831,1.3987741750652785,1.0908574852965636,1.4343170852687315,1.9679641902543528,2.441035220809809
E9,1.352740353815532,5.061162711458904,1.3658164427335557,2.088622402893853,1.5087167717478775,1.07073538627381,1.2807287945946404,2.127361257090035,2.652422956497548
E10,1.2663568643912513,4.463808869226714,1.2762786595000861,1.893166170348556,1.3915403671239501,1.1236782247059136,1.5208035844130923,1.927386409965558,2.385186788219259
E11,1.1559845750067335,3.82768514184627,1.1616701327273493,1.6754940736602995,1.2548755800738198,1.1349289451935456,1.6786022083410277,1.7076353964847786,2.0929238251905837
E12,1.3022719310602577,4.740357533805699,1.3147516507545827,1.986577234849131,1.444703325316027,1.0953854311968436,1.4010611950721032,2.0257187678160298,2.5157172999067576
E13,1.2656589040211743,4.513020338370272,1.270279930290246,1.922075777127209,1.4015389885747185,1.1171170943231703,1.5015831832426119,1.965038376057205,2.433617419065918
E14,1.2584739376729936,4.608603703855778,1.2678482954808097,1.958293911414743,1.3966440655520018,1.0639629384928362,1.355981906450888,1.993947538947431,2.477577666110214
E15,1.7440407169456356,1.0902268141932134,1.7182709230674522,1.215488405046167,1.5313427574753382,3.56369651592917,7.53400959415958,1.2031946550997115,1.1163588814153032
