epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.29069453477859497,0.5705820918083191,0.7699125409126282,0.5705820918083191,0.7988686561584473,0.6462711095809937,nan,900.5180177688599,0.999256683556693
1,0.16498124599456787,0.9614652395248413,0.9859411716461182,0.9614652395248413,0.9813587665557861,0.9731459617614746,nan,910.7418966293335,0.999097475226266

2,0.1171499714255333,0.9852845072746277,0.9931947588920593,0.9852845072746277,0.9918869733810425,0.9875041246414185,nan,907.2274761199951,0.999075535648891
3,0.09341425448656082,0.9865427017211914,0.9932746887207031,0.9865427017211914,0.9924124479293823,0.9891259670257568,nan,901.7133347988129,0.9989905421774729
4,0.29742521047592163,0.77910315990448,0.7809749841690063,0.7802900075912476,0.7802752256393433,0.77910315990448,nan,902.2120277881622,0.8418217383642441
5,0.49003276228904724,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,941.8466346263885,0.9159545625196185
6,0.6276091933250427,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,909.3034181594849,0.9159545625196185
7,0.7307910919189453,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,904.568461894989,0.9159545625196185
8,0.8110426664352417,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,937.7469053268433,0.9159545625196185
9,0.8752442002296448,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,944.9402093887329,0.9159545625196185
10,0.9277727007865906,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,940.9613130092621,0.9159545625196185

11,0.971546471118927,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,939.4710597991943,0.9159545625196185
12,1.0085877180099487,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,946.1504120826721,0.9159545625196185
13,1.040335774421692,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,943.8500869274139,0.9159545625196185
14,1.0678508281707764,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,960.1254551410675,0.9159545625196185
15,1.0919264554977417,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,950.7791032791138,0.9159545625196185
16,1.1131696701049805,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,945.313145160675,0.9159545625196185
17,1.1320524215698242,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,943.0906023979187,0.9159545625196185
18,1.1489475965499878,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,949.9349820613861,0.9159545625196185
19,1.1641533374786377,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,945.7159988880157,0.9159545625196185
20,1.1779050827026367,0.49999308586120605,0.4999963045120239,0.49999308586120605,0.5,0.5,nan,942.3191204071045,0.9159545625196185

