,Best Neuron,Training,Validation
Passenger,N[4],0.7029836177825928,0.7019021511077881
Freight,N[5],0.6575624942779541,0.65514075756073
Empty,N[2],0.7676413059234619,0.7636362910270691
Long,N[9],0.7604614496231079,0.763485312461853
Reinforced,N[4],0.6610704660415649,0.6595947742462158
LongPassenger,N[9],0.8046035766601562,0.8013324737548828
2Passenger,N[7],0.7377316951751709,0.7377969026565552
2Freight,N[7],0.7460722923278809,0.7440734505653381
3Wagons,N[7],0.8533250093460083,0.8535259962081909
2Long,N[9],0.8198991417884827,0.8169821500778198
Mean,,0.7511351048946381,0.7497470259666443
