,Best Without Repeat,Best Without Repeat,Best Without Repeat,Best Without Repeat
,Concept,Rank,Training,Validation
N[0],Freight,1,0.6385698914527893,0.6381044983863831
N[1],Long,1,0.6876641511917114,0.6935875415802002
N[2],Empty,0,0.7676413059234619,0.7636362910270691
N[3],Reinforced,8,0.5037397146224976,0.5050391554832458
N[4],Passenger,0,0.7029836177825928,0.7019021511077881
N[5],2Freight,1,0.7028102874755859,0.7014538049697876
N[6],2Passenger,2,0.6878553628921509,0.687296450138092
N[7],3Wagons,0,0.8533250093460083,0.8535259962081909
N[8],LongPassenger,2,0.6998375058174133,0.7002529501914978
N[9],2Long,0,0.8198991417884827,0.8169821500778198
Mean,,,0.7064325988292695,0.7061780989170074
