,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.9227077629913504,0.461231496792359,0.35200284342365384,0.2846923168876721,0.49660739766645157,0.8421942986680483,0.9134836022116555,0.4259109411937176,0.5779899697132691,0.48996138512905907,0.6793871300537396,0.6038806232821868,0.7055165247779953
N[1],0.4503356664328567,0.7144192816210345,0.7794590402083003,0.7208380799478834,0.593035029527742,0.6625760604811223,0.6143509480949515,0.6934890148395848,0.868704040394063,0.7752171073673002,0.38246639697224705,0.8719567168656205,0.7432420061660179
N[2],0.5914003739927547,0.23987722557874763,0.9853324412430822,0.36407481519205387,0.5052393287281914,0.5790672079659771,0.5300219140253234,0.2942679806616618,0.553369343829947,0.46920972083876294,0.6715551519212374,0.45538931640576097,0.972299434703682
N[3],0.5636051286317597,0.6870361258886436,0.12355298958139188,0.7441593148844657,0.5368554562229207,0.6753082073457299,0.7168333611161646,0.7762495376358632,0.6545008707567781,0.7320637106325659,0.49463900898963703,0.7726463886250152,0.07423775026441423
N[4],0.8091418236109414,0.24285893899581615,0.5203821102305667,0.5089405029544791,0.8516402217317174,0.7498896972635323,0.7271931959815936,0.45310275359754454,0.6155611827963924,0.5562961793725243,0.9990673409841259,0.6115352893955457,0.5766539569284315
N[5],0.6812515772351994,0.7448219743148058,0.3406103158553606,0.7265095954225259,0.5971760272471849,0.7594752235330946,0.7579969624239898,0.8119887000194104,0.922709238257004,0.7770901894705466,0.5809108278766352,0.9870153500408927,0.3723614129032405
N[6],0.8060752879891453,0.4763920304088704,0.47088798605506377,0.6986498865300738,0.6869092012363521,0.941860500127566,0.9024158324863986,0.6623828336984575,0.8677027710468943,0.7319438411201122,0.8065746165498164,0.9246498691851113,0.5092693025954589
N[7],0.5781516164326505,0.6919828553868854,0.5135964835973936,0.7467270299743967,0.5952966815905097,0.8287344635970378,0.7925447111224042,0.7995289858530575,0.9163247516657049,0.8012906539406077,0.4795804269259052,0.9978907470258721,0.5045511761978004
N[8],0.6659619272448513,0.40401808922362736,0.6554001286305865,0.5863570483711368,0.6721539617681151,0.8089327072886893,0.8399046081515374,0.6416993553140338,0.8906694766226617,0.6850953073892025,0.7362346006606618,0.9195414977464434,0.6662351524571642
N[9],0.5691065592040024,0.4138114453466439,0.7922219866668233,0.8726605553457364,0.5320433111306637,0.8771386230965743,0.7399852076979292,0.5623469806873184,0.7735971107237526,0.8822074301474148,0.5562083950874231,0.818614712362404,0.5825315967904058
