,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0](Passenger),0.5838133096694946,0.6385698914527893,0.3570776581764221,0.4492916166782379,0.5019157528877258,0.5644069910049438,0.5601279139518738,0.5711102485656738,0.548408031463623,0.5268874764442444,0.462994247674942,0.5773523449897766,0.5668200850486755
N[1](Freight),0.538320779800415,0.6309612989425659,0.6688621044158936,0.6876641511917114,0.571236252784729,0.6818462610244751,0.6523129343986511,0.6306239366531372,0.7811170816421509,0.6961867213249207,0.4694942533969879,0.7948682308197021,0.6877405047416687
N[2](Empty),0.5314729809761047,0.32276651263237,0.7676413059234619,0.3838118314743042,0.5037923455238342,0.49970996379852295,0.4754018187522888,0.3913765549659729,0.5288387537002563,0.4489879608154297,0.622521698474884,0.4544728994369507,0.9736275672912598
N[3](Long),0.5046350359916687,0.5653381943702698,0.37696924805641174,0.600339412689209,0.5037397146224976,0.5452032089233398,0.5384351015090942,0.5814540982246399,0.5206603407859802,0.5502033233642578,0.48765459656715393,0.565898597240448,0.25333693623542786
N[4](Reinforced),0.7029836177825928,0.29247722029685974,0.529170036315918,0.5006230473518372,0.6610704660415649,0.6570664048194885,0.6750540733337402,0.43609297275543213,0.5377099514007568,0.5116080045700073,0.9877408742904663,0.5300956964492798,0.5404751300811768
N[5](LongPassenger),0.616320788860321,0.6575624942779541,0.2713767886161804,0.6191705465316772,0.5576475858688354,0.6808252334594727,0.693640947341919,0.7028102874755859,0.7608704566955566,0.6929260492324829,0.5684986114501953,0.8257994651794434,0.327099472284317
N[6](2Passenger),0.5716943740844727,0.4768071472644806,0.49483197927474976,0.5304473042488098,0.5397674441337585,0.6664314270019531,0.6878553628921509,0.49281442165374756,0.5300808548927307,0.5458667278289795,0.6048071980476379,0.5437706112861633,0.5091956257820129
N[7](2Freight),0.5587085485458374,0.607096791267395,0.5134798288345337,0.6787055134773254,0.5777048468589783,0.7804120182991028,0.7377316951751709,0.7460722923278809,0.8533250093460083,0.7625114917755127,0.5036522150039673,0.9596542119979858,0.49324947595596313
N[8](3Wagons),0.6422061920166016,0.4337334632873535,0.6394122838973999,0.5617287158966064,0.607426643371582,0.6998375058174133,0.6860700845718384,0.6033298373222351,0.8349520564079285,0.6628811359405518,0.6834699511528015,0.8517622947692871,0.6775520443916321
N[9](2Long),0.5514477491378784,0.46193113923072815,0.705957293510437,0.7604614496231079,0.5179169774055481,0.8046035766601562,0.6676599383354187,0.5228463411331177,0.6695842146873474,0.8198991417884827,0.5246650576591492,0.7099789381027222,0.5051418542861938
