,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.9994753003120422,0.9079484343528748,0.6932305693626404,0.8454217314720154,0.8870311975479126,0.9995546936988831,1.0,0.9429043531417847,0.933074951171875,0.9282718896865845,0.8237054944038391,0.9595871567726135,0.9988311529159546
N[1],0.725400984287262,0.6948512196540833,0.8992940187454224,0.8186670541763306,0.7562498450279236,0.9969877004623413,0.9648060202598572,0.7797145843505859,0.9533599019050598,0.990224301815033,0.6226094365119934,0.9580880999565125,0.9933765530586243
N[2],0.2202853262424469,0.14760175347328186,0.5359435081481934,0.0870121568441391,0.18165375292301178,0.17670324444770813,0.13008849322795868,0.08845042437314987,0.20598460733890533,0.09472709894180298,0.37946829199790955,0.1331976354122162,0.9855453372001648
N[3],0.925142228603363,0.9297189712524414,0.7539001107215881,0.9967029690742493,0.9231721758842468,0.9993451833724976,0.992443859577179,0.98536616563797,0.939407229423523,0.9999850988388062,0.8984212875366211,0.982520580291748,0.4978279173374176
N[4],0.45063912868499756,0.1382114142179489,0.2119883894920349,0.1733751744031906,0.36120301485061646,0.4527595043182373,0.5083049535751343,0.12066516280174255,0.210504412651062,0.19166305661201477,0.9780122637748718,0.2019924372434616,0.24196910858154297
N[5],0.49576184153556824,0.3629280924797058,0.03017021156847477,0.4291204810142517,0.4039944112300873,0.6587998270988464,0.7076242566108704,0.5023383498191833,0.5967968106269836,0.6485828757286072,0.4496687054634094,0.6516284346580505,0.04151325672864914
N[6],0.14340120553970337,0.041424140334129333,0.038373250514268875,0.06893910467624664,0.09179315716028214,0.3418550491333008,0.4052416682243347,0.03942778706550598,0.07530350238084793,0.11947226524353027,0.2183067500591278,0.08762390166521072,0.06099390238523483
N[7],0.5581809878349304,0.495745986700058,0.49591580033302307,0.6165944933891296,0.5686953067779541,0.9774995446205139,0.9333560466766357,0.67894446849823,0.8302650451660156,0.902362585067749,0.4838773012161255,0.9223105907440186,0.4663276970386505
N[8],0.8352044224739075,0.6295459270477295,0.8274762630462646,0.688545823097229,0.7662152647972107,0.9966995716094971,0.9971408843994141,0.7250635027885437,0.9747107625007629,0.9040192365646362,0.9434764981269836,0.9807560443878174,0.9436424970626831
N[9],0.44363731145858765,0.3668781518936157,0.6492875218391418,0.5754607915878296,0.39418718218803406,0.9159965515136719,0.6944860219955444,0.3919105529785156,0.5423881411552429,0.8905571103096008,0.4139550030231476,0.5762788653373718,0.3820154666900635
