,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.16815127432346344,0.36919131875038147,0.020924730226397514,0.05316150188446045,0.11680034548044205,0.12925922870635986,0.12025588005781174,0.199316143989563,0.16374105215072632,0.12550309300422668,0.10228299349546432,0.19511748850345612,0.1348090022802353
N[1],0.35124051570892334,0.5670713186264038,0.43843021988868713,0.5566611886024475,0.3862226605415344,0.3667048215866089,0.33981987833976746,0.4815332889556885,0.6088742613792419,0.40214914083480835,0.3163790702819824,0.6316483020782471,0.3821044862270355
N[2],0.842660665512085,0.49793127179145813,0.9993391633033752,0.6806114912033081,0.8259309530258179,0.8227167129516602,0.8207151293754578,0.6943026781082153,0.8516929149627686,0.8032488226890564,0.8655750751495361,0.7757481336593628,0.9617098569869995
N[3],0.08412783592939377,0.20095743238925934,3.837053009192459e-05,0.2039758861064911,0.08430720120668411,0.09106127172708511,0.08442635089159012,0.1775420606136322,0.10191348940134048,0.10042156279087067,0.07688792794942856,0.14927665889263153,0.008845971897244453
N[4],0.955328106880188,0.44674304127693176,0.8463516235351562,0.8278709650039673,0.9609378576278687,0.8613733053207397,0.8418031334877014,0.7515208125114441,0.8649154901504517,0.8315529823303223,0.9974694848060608,0.8581990003585815,0.8389812111854553
N[5],0.7368797063827515,0.9521969556808472,0.5125833749771118,0.8092206716537476,0.7113007307052612,0.7028506398200989,0.6796576380729675,0.9032822251319885,0.9249441623687744,0.7372692823410034,0.6873284578323364,0.9999704360961914,0.6126856803894043
N[6],0.9999874830245972,0.9121901392936707,0.9512907266616821,0.9919554591178894,0.9877417683601379,0.9910077452659607,0.9704691171646118,0.9462010860443115,0.9848582148551941,0.9722611904144287,0.9913076758384705,0.9999172687530518,0.9573973417282104
N[7],0.5592361092567444,0.7184476256370544,0.5310438871383667,0.7408165335655212,0.5867143869400024,0.5833244919776917,0.5421072840690613,0.8132001161575317,0.876384973526001,0.6226603388786316,0.5234270691871643,0.9969978928565979,0.5201712846755981
N[8],0.44920799136161804,0.23792101442813873,0.45134830474853516,0.4349115788936615,0.44863805174827576,0.4029754102230072,0.3749992549419403,0.4815962016582489,0.695193350315094,0.4217429757118225,0.4234634339809418,0.7227685451507568,0.41146159172058105
N[9],0.659258246421814,0.5569841265678406,0.762627124786377,0.945462167263031,0.6416467428207397,0.6932105422019958,0.640833854675293,0.6537821292877197,0.7967802882194519,0.7492411732673645,0.6353751420974731,0.8436790704727173,0.628268301486969
