,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.5663681030273438,0.5838085412979126,0.12409648299217224,0.3772745132446289,0.46059468388557434,0.5411309599876404,0.5772243738174438,0.5029714107513428,0.3473126292228699,0.2969484329223633,0.492489218711853,0.3977098762989044,0.2749174237251282
N[1],0.4661189913749695,0.2687584161758423,0.49883341789245605,0.4424643814563751,0.4463030695915222,0.44905295968055725,0.4518723785877228,0.38703495264053345,0.41015908122062683,0.44593724608421326,0.5549754500389099,0.40484657883644104,0.44588789343833923
N[2],0.2785224914550781,0.548091471195221,0.5101311802864075,0.47924289107322693,0.32834094762802124,0.32812538743019104,0.31034648418426514,0.5317027568817139,0.4371029734611511,0.4728357791900635,0.08920150995254517,0.4422033131122589,0.4432828426361084
N[3],0.4806607663631439,0.28957486152648926,0.5421447157859802,0.46959811449050903,0.496332049369812,0.4765072464942932,0.4782866835594177,0.44842463731765747,0.4608285129070282,0.47685253620147705,0.5968946814537048,0.4565194249153137,0.4810906946659088
N[4],0.4994470179080963,0.4954180121421814,0.5011542439460754,0.4991701543331146,0.49952155351638794,0.49958494305610657,0.4996003806591034,0.49906301498413086,0.49923232197761536,0.4995265007019043,0.5021922588348389,0.499213844537735,0.49955132603645325
N[5],0.6640986204147339,0.6217284202575684,0.5037022233009338,0.2776021957397461,0.5263940095901489,0.6008648872375488,0.6481500267982483,0.5573129653930664,0.6574410200119019,0.4311598539352417,0.5886880159378052,0.6062027215957642,0.7370607852935791
N[6],0.5455540418624878,0.43152064085006714,0.382502943277359,0.3170854449272156,0.5862951874732971,0.45567846298217773,0.4698997735977173,0.35891181230545044,0.2525043487548828,0.2565608620643616,0.6941840648651123,0.2339278906583786,0.5222673416137695
N[7],0.7233933210372925,0.4161924719810486,0.4659847617149353,0.5856689214706421,0.5047925114631653,0.9750384092330933,0.9356743097305298,0.4580915868282318,0.5608620047569275,0.6035767793655396,0.6287287473678589,0.6397222280502319,0.509986937046051
N[8],0.5383130311965942,0.796514093875885,0.3042699098587036,0.5792908072471619,0.544247567653656,0.6065269708633423,0.5979070663452148,0.8206246495246887,0.6590806245803833,0.6062028408050537,0.4543456435203552,0.7521703243255615,0.3413810729980469
N[9],0.47518888115882874,0.2103087455034256,0.632078230381012,0.5508710145950317,0.48163965344429016,0.5375001430511475,0.5322214961051941,0.3614400029182434,0.42840951681137085,0.4841529130935669,0.565008819103241,0.42367807030677795,0.4388028085231781
