,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.7455017566680908,0.6686941981315613,0.15085971355438232,0.5594052076339722,0.6086187958717346,0.7279775738716125,0.8026548624038696,0.6571168899536133,0.5023938417434692,0.32632866501808167,0.6422904133796692,0.5557792782783508,0.27054721117019653
N[1],0.04599115252494812,0.053707659244537354,0.09078782051801682,0.04768109321594238,0.029572980478405952,0.0015716268680989742,0.00013614703493658453,3.3818712836364284e-05,0.002741521690040827,0.004925152752548456,0.18310020864009857,0.0003429506905376911,0.0
N[2],0.5523009300231934,0.8633910417556763,0.8689332604408264,0.8392385840415955,0.6546632647514343,0.5491002202033997,0.4919673204421997,0.881262481212616,0.792618989944458,0.8114263415336609,0.17724335193634033,0.7994678616523743,0.7585569024085999
N[3],0.01568620279431343,0.00698352325707674,0.0986357107758522,0.018544722348451614,0.03786029294133186,0.0002881315886043012,0.0005445881397463381,0.0,0.0030777999199926853,0.004716206807643175,0.20209406316280365,0.00010509779531275854,0.009876687079668045
N[4],9.046253580891062e-06,0.0,0.002312789671123028,0.00012142099876655266,0.00020632312225643545,2.6193782105110586e-05,0.0,0.0,0.0,0.0,0.004384458065032959,5.5314631026703864e-06,0.0
N[5],0.8178717494010925,0.613673985004425,0.5982935428619385,0.420663058757782,0.6241893172264099,0.7730571031570435,0.8771953582763672,0.6401689052581787,0.7503676414489746,0.48200827836990356,0.7397300601005554,0.6960240006446838,0.9979155659675598
N[6],0.6855612993240356,0.6117846965789795,0.46574559807777405,0.4812147617340088,0.7241184711456299,0.5442544221878052,0.5655547976493835,0.5079280734062195,0.37636932730674744,0.2295568883419037,0.9437709450721741,0.3659505248069763,0.6612315773963928
N[7],0.45061197876930237,0.13093170523643494,0.09934601187705994,0.21144999563694,0.15054021775722504,0.9913822412490845,0.9797140955924988,0.11068864911794662,0.20564264059066772,0.31243377923965454,0.3574315011501312,0.280041366815567,0.16198156774044037
N[8],0.7892675399780273,0.7863945960998535,0.4745030105113983,0.798403799533844,0.7885738015174866,0.9266574382781982,0.9244384169578552,0.9988646507263184,0.8955143690109253,0.9085862040519714,0.6614805459976196,0.9806786179542542,0.46613290905952454
N[9],0.07994174212217331,0.06547988206148148,0.2909177541732788,0.1533874124288559,0.0924258753657341,0.18071089684963226,0.17562967538833618,0.0006570492405444384,0.04248503968119621,0.08826470375061035,0.22120244801044464,0.040092043578624725,0.009448112919926643
