,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.3872344493865967,0.4989228844642639,0.09733324497938156,0.19514384865760803,0.31257057189941406,0.3542843163013458,0.3517938554286957,0.34882599115371704,0.1922314465045929,0.2675682008266449,0.34268802404403687,0.23964045941829681,0.2792876362800598
N[1],0.8862468004226685,0.4838092029094696,0.9068790078163147,0.8372476696968079,0.8630331754684448,0.896534264087677,0.9036086201667786,0.7740361094474792,0.8175766468048096,0.886949360370636,0.9268507361412048,0.8093501925468445,0.8917757868766785
N[2],0.00474406685680151,0.232791930437088,0.15132911503314972,0.11924721300601959,0.002018602332100272,0.10715053230524063,0.12872566282749176,0.18214300274848938,0.08158693462610245,0.13424524664878845,0.0011596711119636893,0.08493877947330475,0.12800878286361694
N[3],0.9456353187561035,0.5721662044525146,0.9856536984443665,0.9206514954566956,0.9548038244247437,0.9527263641357422,0.9560287594795227,0.8968492746353149,0.9185792207717896,0.9489888548851013,0.9916953444480896,0.9129337668418884,0.9523047208786011
N[4],0.9988849759101868,0.9908360242843628,0.9999957084655762,0.9982188940048218,0.9988367557525635,0.9991437196731567,0.9992007613182068,0.9981260299682617,0.9984646439552307,0.9990530014038086,1.0,0.9984221458435059,0.9991026520729065
N[5],0.5103254318237305,0.6297828555107117,0.4091108739376068,0.1345413625240326,0.42859867215156555,0.4286726713180542,0.4191046953201294,0.4744570553302765,0.5645144581794739,0.3803114593029022,0.4376460313796997,0.5163814425468445,0.4762059450149536
N[6],0.40554672479629517,0.2512566149234772,0.29926028847694397,0.15295615792274475,0.44847187399864197,0.3671025037765503,0.37424471974372864,0.2098955363035202,0.128639355301857,0.28356483578681946,0.44459715485572815,0.10190525650978088,0.38330313563346863
N[7],0.996174693107605,0.7014532685279846,0.8326234817504883,0.9598878622055054,0.8590448498725891,0.9586945176124573,0.8916345834732056,0.8054945468902588,0.9160813689231873,0.8947197198867798,0.9000259637832642,0.9994031190872192,0.8579923510551453
N[8],0.28735849261283875,0.8066335916519165,0.13403679430484772,0.36017781496047974,0.29992130398750305,0.28639644384384155,0.27137574553489685,0.6423846483230591,0.42264682054519653,0.303819477558136,0.24721072614192963,0.5236620903015137,0.21662922203540802
N[9],0.8704360127449036,0.3551376163959503,0.9732387065887451,0.9483546614646912,0.8708534240722656,0.8942893743515015,0.888813316822052,0.7222229838371277,0.814333975315094,0.8800411224365234,0.9088152050971985,0.8072640895843506,0.8681575059890747
