,Best Neuron,Training,Validation
Passenger,N[7],0.7233933210372925,0.7254052758216858
Freight,N[8],0.796514093875885,0.7982038259506226
Empty,N[0] (negated),0.8759035170078278,0.8790864199399949
Long,N[5] (negated),0.7223978042602539,0.718586266040802
Reinforced,N[2] (negated),0.6716590523719788,0.670494943857193
LongPassenger,N[7],0.9750384092330932,0.9731189012527466
2Passenger,N[7],0.9356743097305298,0.9311583042144777
2Freight,N[8],0.8206246495246887,0.8204464912414551
3Wagons,N[6] (negated),0.7474956512451172,0.7467382550239563
2Long,N[6] (negated),0.7434391379356384,0.7444964051246643
Mean,,0.8012139946222305,0.8007735088467598
