,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.5145597398253959,0.622795813388003,0.062079206608768936,0.2694926332974888,0.4073223883758065,0.41891201070338147,0.5100628188389481,0.4703139127534779,0.22678685457430373,0.22709212015979988,0.40929985353590326,0.2560122523864612,0.1954267560140914
N[1],0.46044781572975974,0.2555243231037333,0.4947186326613549,0.4368734616622024,0.43999230661855304,0.4429797984017557,0.4453455409692816,0.37179208750247783,0.3978881132356875,0.4385560769268053,0.5555588285208379,0.3922366268872854,0.4385390236360308
N[2],0.20314642017872828,0.7798732821771202,0.3500045624982823,0.4289451183117814,0.1865101593700557,0.27264139748541616,0.2752677430529269,0.6511707628838865,0.43241843096268634,0.4403158056706275,0.005075700173173734,0.4487296579540849,0.3783814851319019
N[3],0.4779900153293912,0.2805615153503912,0.5400988385049521,0.46159316655360694,0.49757473303851796,0.4721219009912922,0.47434443197042353,0.4383432453419631,0.45305964986380726,0.47184680876612733,0.5974983927459938,0.44813594830994097,0.4800241589452832
N[4],0.49883026961643717,0.48988320856151074,0.5025317951156172,0.4984116877703619,0.4989400223586025,0.49919282788842545,0.4991127613253407,0.4979256870773897,0.49831274388018404,0.49896719354196983,0.5047779672748542,0.498304767038839,0.4990039073617105
N[5],0.6894576512612306,0.6530602182219359,0.5630769414297494,0.2012236175997504,0.5369791560052327,0.6194086291125372,0.6778391212269175,0.5840391317830341,0.7051300617253061,0.4168223430395607,0.6045427950718489,0.6282239337173381,0.9138135823652882
N[6],0.5908424158016673,0.46605531051197624,0.3174551082060906,0.2766172247914759,0.6236799312698352,0.46944952612736834,0.5323474452047351,0.33049654438612047,0.21164177851298446,0.25112215956967976,0.7902301295962495,0.1951601515832204,0.4871175937191389
N[7],0.7391752879174385,0.4078654222061809,0.46102606650270395,0.5906661727554772,0.500817404185722,0.9910019031544736,0.9510585380497597,0.46017416168863423,0.5670533378383972,0.607731409420193,0.6318723865216502,0.6508160335026977,0.5064142091753364
N[8],0.5573819644939856,0.8350328080093791,0.23891974531665705,0.6386359511847431,0.5608302426446334,0.6611081935465566,0.6756930407448974,0.9273715070063355,0.8442420776823095,0.7156855074485704,0.4744772840836791,0.9314859239397305,0.27652009609945954
N[9],0.47421962382334,0.1988639528543954,0.6357483587312669,0.555724657928311,0.480416794177558,0.5380984435955334,0.5313452280393874,0.3533858240790935,0.4254322293722922,0.48411645561382893,0.5680230048058587,0.4189283078507039,0.4385775654640549
