,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.7593515515327454,0.6825645565986633,0.17486248910427094,0.5743773579597473,0.6261906623840332,0.738743245601654,0.8121170997619629,0.6726542115211487,0.5212938189506531,0.35862573981285095,0.6649488806724548,0.5751891732215881,0.3080669343471527
N[1],0.050080060958862305,0.06591947376728058,0.09362900257110596,0.05603112280368805,0.03518496826291084,0.0035885481629520655,0.0002042205596808344,0.00014976858801674098,0.002952408045530319,0.005208721850067377,0.18859714269638062,0.0007688733749091625,1.9480645278235897e-05
N[2],0.5623422265052795,0.8669264912605286,0.8763307332992554,0.8430773615837097,0.6644361019134521,0.5549414753913879,0.49380531907081604,0.8840935826301575,0.7968481183052063,0.8155156970024109,0.20137423276901245,0.802836537361145,0.7661932706832886
N[3],0.020779244601726532,0.014182164333760738,0.10258564352989197,0.020319337025284767,0.04819020256400108,0.0007596196373924613,0.001293396926485002,1.4493733942799736e-05,0.0035508691798895597,0.004775905515998602,0.20862168073654175,0.00026551022892817855,0.016772836446762085
N[4],9.950879029929638e-05,9.35293337533949e-06,0.005093334708362818,0.0004670038470067084,0.00046078828745521605,0.00026193782105110586,0.0,4.831244496017462e-06,1.7098887838074006e-05,2.9849410566384904e-05,0.009586911648511887,6.084609412937425e-05,0.0
N[5],0.846629798412323,0.6581222414970398,0.6462038159370422,0.47826331853866577,0.6739819645881653,0.8176127076148987,0.8936010599136353,0.6892591714859009,0.8087660074234009,0.5410802364349365,0.7754274010658264,0.7611735463142395,0.9988896250724792
N[6],0.728947103023529,0.6536702513694763,0.507652997970581,0.5282607078552246,0.764839768409729,0.5981612205505371,0.5979577898979187,0.556796133518219,0.43811342120170593,0.2626151144504547,0.9567607641220093,0.4294074773788452,0.7108098268508911
N[7],0.48251810669898987,0.1441754549741745,0.10530555993318558,0.22608590126037598,0.16005860269069672,0.9949445724487305,0.9902654886245728,0.12995564937591553,0.2288116216659546,0.33147770166397095,0.37901023030281067,0.30284759402275085,0.17271541059017181
N[8],0.8015523552894592,0.8013655543327332,0.48015937209129333,0.8047924041748047,0.7983879446983337,0.9302459359169006,0.9297481179237366,0.9994975328445435,0.8988714814186096,0.9102427959442139,0.6731942892074585,0.9817516803741455,0.47585374116897583
N[9],0.08525189012289047,0.07230440527200699,0.29897353053092957,0.16382494568824768,0.09827857464551926,0.18744270503520966,0.18025867640972137,0.0016571169253438711,0.046047307550907135,0.0924137756228447,0.22838446497917175,0.042719487100839615,0.018292326480150223
