,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0],0.36935651302337646,0.45231664180755615,0.0843682736158371,0.1759636104106903,0.2966514527797699,0.33696359395980835,0.3348751962184906,0.3306739330291748,0.17793183028697968,0.2546776235103607,0.3273630440235138,0.226030632853508,0.266276478767395
N[1],0.8698346614837646,0.467909038066864,0.8895952105522156,0.8181557059288025,0.8456038236618042,0.8827283382415771,0.8905431032180786,0.7435635924339294,0.792684018611908,0.8715322017669678,0.9128446578979492,0.7839093208312988,0.8771072626113892
N[2],0.002200812567025423,0.21278850734233856,0.14764127135276794,0.11264526844024658,0.0005620805895887315,0.10235293954610825,0.12367957830429077,0.1742207109928131,0.07598968595266342,0.12913918495178223,0.0003150151460431516,0.07837910950183868,0.12356571108102798
N[3],0.9359717965126038,0.5527440309524536,0.9753320217132568,0.9022735357284546,0.9480832815170288,0.9435577392578125,0.9474814534187317,0.8767533302307129,0.9025723338127136,0.9388368129730225,0.9831172823905945,0.8961032032966614,0.9438571929931641
N[4],0.9975611567497253,0.9797572493553162,0.9999701380729675,0.9963567852973938,0.9974192976951599,0.9981239438056946,0.9982255101203918,0.9958465695381165,0.9966084361076355,0.9979045987129211,0.9999688267707825,0.9965487718582153,0.9980078339576721
N[5],0.45520490407943726,0.5572576522827148,0.3628658652305603,0.10477739572525024,0.38393524289131165,0.38160431385040283,0.37097910046577454,0.43098577857017517,0.5293841361999512,0.3364240527153015,0.38850367069244385,0.4891972243785858,0.4215363562107086
N[6],0.3636477589607239,0.20359036326408386,0.2566647529602051,0.11795920878648758,0.4049326181411743,0.32614657282829285,0.3314395546913147,0.17693372070789337,0.10574620217084885,0.23899193108081818,0.3960121273994446,0.08206670731306076,0.3421737253665924
N[7],0.9928629994392395,0.6989912986755371,0.8171388506889343,0.9511588215827942,0.8446946740150452,0.9452766180038452,0.879213273525238,0.8031731247901917,0.9146204590797424,0.883963406085968,0.8896374106407166,0.9982389211654663,0.8453729152679443
N[8],0.2717481553554535,0.7965806126594543,0.11509454250335693,0.33273962140083313,0.2819885015487671,0.27049320936203003,0.25641047954559326,0.6076678037643433,0.3968261182308197,0.28620445728302,0.23204846680164337,0.49469316005706787,0.2012374997138977
N[9],0.8620796203613281,0.34149426221847534,0.9661699533462524,0.9457565546035767,0.8623635768890381,0.8868139982223511,0.8812978863716125,0.7055742740631104,0.8030879497528076,0.8718785047531128,0.9013760089874268,0.7947770953178406,0.8610124588012695
