,Best,Best,Best,Best Without Repeat,Best Without Repeat,Best Without Repeat,Best Without Repeat
,Concept,Training,Validation,Concept,Rank,Training,Validation
N[0](Passenger),!Empty,0.870384618639946,0.8737674206495285,!Empty,0,0.870384618639946,0.8737674206495285
N[1](Freight),!Freight,0.7330857515335083,0.7315986156463623,!3Wagons,2,0.6021817922592163,0.6025955080986023
N[2](Empty),!Passenger,0.717728465795517,0.7154603004455566,!Passenger,0,0.717728465795517,0.7154603004455566
N[3](Long),!Freight,0.7165369093418121,0.7139573991298676,!2Passenger,7,0.5256125628948212,0.5258525907993317
N[4](Reinforced),!Freight,0.510116696357727,0.5101960301399231,!Reinforced,6,0.5010599493980408,0.5010082423686981
N[5](LongPassenger),!Long,0.708479642868042,0.704451322555542,!Long,0,0.708479642868042,0.704451322555542
N[6](2Passenger),!2Long,0.749196469783783,0.750527709722519,!2Long,0,0.749196469783783,0.750527709722519
N[7](2Freight),LongPassenger,0.9701105952262878,0.9694668054580688,LongPassenger,0,0.9701105952262878,0.9694668054580688
N[8](3Wagons),2Freight,0.8035826683044434,0.8034010529518127,2Freight,0,0.8035826683044434,0.8034010529518127
N[9](2Long),!Freight,0.7931006699800491,0.7973585724830627,!Freight,0,0.7931006699800491,0.7973585724830627
Mean,,0.7572322487831116,0.7570185229182244,,,0.7241437435150146,0.7243889525532723
