,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
N[0](Passenger),0.5643540620803833,0.5674406290054321,0.12961538136005402,0.3751704692840576,0.46142107248306274,0.5378534197807312,0.5734961628913879,0.5016640424728394,0.349612832069397,0.30665168166160583,0.4961559772491455,0.40060991048812866,0.28717172145843506
N[1](Freight),0.4599573612213135,0.2669142484664917,0.49161210656166077,0.4370934069156647,0.44039440155029297,0.44315844774246216,0.44537365436553955,0.371856689453125,0.3978182077407837,0.4383704662322998,0.5507209300994873,0.3923391103744507,0.43856337666511536
N[2](Empty),0.28227153420448303,0.5398575067520142,0.5119860172271729,0.47786131501197815,0.33249908685684204,0.3286471962928772,0.3087424635887146,0.5291571617126465,0.43641889095306396,0.47232744097709656,0.1008446216583252,0.44060781598091125,0.4448795020580292
N[3](Long),0.47837552428245544,0.28346309065818787,0.5389588475227356,0.4612964391708374,0.4981367290019989,0.47215867042541504,0.47438743710517883,0.43838390707969666,0.45306161046028137,0.4718063473701477,0.5958694815635681,0.44818437099456787,0.48031502962112427
N[4](Reinforced),0.49883031845092773,0.48988330364227295,0.5025317072868347,0.4984118938446045,0.49894005060195923,0.4991929531097412,0.4991127550601959,0.49792569875717163,0.498312771320343,0.4989672303199768,0.5047778487205505,0.4983048141002655,0.49900391697883606
N[5](LongPassenger),0.6509173512458801,0.6076899766921997,0.5045348405838013,0.291520357131958,0.5289586186408997,0.5996085405349731,0.6322900652885437,0.5601224899291992,0.669075071811676,0.438752144575119,0.5819655656814575,0.6251853704452515,0.7102130055427551
N[6](2Passenger),0.5462974309921265,0.4286302924156189,0.38215887546539307,0.3231099545955658,0.5848861932754517,0.46215391159057617,0.4646986722946167,0.3668649196624756,0.2719298005104065,0.25080353021621704,0.6763864755630493,0.2557370960712433,0.5264917612075806
N[7](2Freight),0.7376905679702759,0.4215833842754364,0.46122220158576965,0.5886223316192627,0.5023766160011292,0.9701105952262878,0.934739351272583,0.4665643870830536,0.5717160701751709,0.6077205538749695,0.6343238353729248,0.6505432724952698,0.5090441703796387
N[8](3Wagons),0.5366502404212952,0.7989730834960938,0.29762697219848633,0.5687659978866577,0.540188193321228,0.6003695726394653,0.5930793285369873,0.8035826683044434,0.6478487849235535,0.5982236266136169,0.45262137055397034,0.7382224202156067,0.33854562044143677
N[9](2Long),0.4736657440662384,0.20689933001995087,0.6325717568397522,0.554790735244751,0.48032107949256897,0.5371283292770386,0.5307782888412476,0.3536157011985779,0.42456763982772827,0.48214614391326904,0.5648802518844604,0.41874828934669495,0.43965238332748413
