epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.1842575967311859,0.6852689981460571,0.8891290426254272,0.6852689981460571,0.8899961709976196,0.7868850231170654,nan,956.1921763420105,0.9990720582853044
1,0.10447060316801071,0.9771006107330322,0.9909408092498779,0.9771006107330322,0.9880479574203491,0.9780452251434326,nan,958.9270193576813,0.9999770711626326

2,0.07395057380199432,0.9895603656768799,0.9949866533279419,0.9898936152458191,0.9941976070404053,0.9895603656768799,nan,967.9136390686035,0.9999941694859096
3,0.057985540479421616,0.9921133518218994,0.9960500001907349,0.9924092292785645,0.9955155253410339,0.9921133518218994,nan,973.7034795284271,0.9999982202584403

4,0.04814485087990761,0.9930838942527771,0.9966003894805908,0.9930838942527771,0.9961161613464355,0.9936368465423584,nan,953.2028021812439,0.9999989454541888
5,0.04172644391655922,0.9933887720108032,0.9967074394226074,0.9933887720108032,0.9959316849708557,0.9939653873443604,nan,968.287239074707,0.9999915383366176
6,0.03680148348212242,0.994455873966217,0.9972858428955078,0.994455873966217,0.9969083070755005,0.9949132800102234,nan,954.4668576717377,0.9999978185163225
7,0.03308853134512901,0.9949274659156799,0.9974541664123535,0.9949274659156799,0.9970602989196777,0.9950263500213623,nan,952.7001938819885,0.9999954673222133
8,0.030191978439688683,0.9949879050254822,0.9975430965423584,0.9949879050254822,0.9970419406890869,0.9956227540969849,nan,959.9741311073303,0.9999976691436767
9,0.027793429791927338,0.9956254959106445,0.9977573156356812,0.9956254959106445,0.9973565340042114,0.9961751103401184,nan,945.8792238235474,0.9999992925480434
10,0.025866223499178886,0.9956488609313965,0.9978731870651245,0.9956488609313965,0.9974940419197083,0.9958630800247192,nan,955.7820343971252,0.999994075175694

11,0.024212850257754326,0.995969831943512,0.9979748725891113,0.995969831943512,0.9977157115936279,0.9964050054550171,nan,942.3846080303192,0.999996908972604
12,0.022810839116573334,0.9959240555763245,0.9979937076568604,0.9959240555763245,0.9976091980934143,0.996130645275116,nan,923.104406118393,0.999997006236485
13,0.021607423201203346,0.9960989952087402,0.9981798529624939,0.9960989952087402,0.997869610786438,0.9965658187866211,nan,914.590475320816,0.9999939837973458
14,0.020615527406334877,0.9959021806716919,0.9982501268386841,0.9959021806716919,0.9979782104492188,0.9964633584022522,nan,903.4577009677887,0.9999965354374477
15,0.01980062946677208,0.9959187507629395,0.9979715347290039,0.9959187507629395,0.9975292682647705,0.9961641430854797,nan,914.4143948554993,0.9999951785060338
16,0.01899460330605507,0.9960483312606812,0.9982300400733948,0.9960483312606812,0.9978861808776855,0.9963749051094055,nan,901.7099318504333,0.999996734324864
17,0.018318679183721542,0.9956701397895813,0.9979145526885986,0.9956701397895813,0.9974973201751709,0.9959209561347961,nan,901.5329983234406,0.9999971234239851
18,0.017681850120425224,0.9963387250900269,0.9982175230979919,0.9963387250900269,0.9979496002197266,0.9966872334480286,nan,901.8110826015472,0.9999989649200439
19,0.017173590138554573,0.9958133101463318,0.9980254769325256,0.9958133101463318,0.9978564977645874,0.9964248538017273,nan,911.043915271759,0.999998941192627
20,0.016684670001268387,0.9964049458503723,0.9981486201286316,0.9964049458503723,0.9979424476623535,0.9965254068374634,nan,661.4110894203186,0.9999995653969901

