epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.2651786506175995,0.6135314702987671,0.8225806951522827,0.6135314702987671,0.8751333951950073,0.6384778022766113,nan,963.7028610706329,0.9992675969478062
1,0.20224294066429138,0.8329678773880005,0.9312610626220703,0.8593004941940308,0.9373316764831543,0.8329678773880005,nan,956.4849815368652,0.9984086952100482

2,0.17091594636440277,0.8663252592086792,0.9506936073303223,0.8975058794021606,0.9599416255950928,0.8663252592086792,nan,954.7195167541504,0.9981280422864641

3,0.16686564683914185,0.8404828310012817,0.9410533905029297,0.8700616359710693,0.9547524452209473,0.8404828310012817,nan,973.5780029296875,0.9977135737064906
4,0.15124304592609406,0.8894926309585571,0.9630333185195923,0.9203892946243286,0.9710556864738464,0.8894926309585571,nan,956.2321388721466,0.9978405400521415

5,0.14145547151565552,0.8902736902236938,0.9623786211013794,0.9199510812759399,0.9716135859489441,0.8902736902236938,nan,957.659375667572,0.9978069126674107

5,0.0851321890950203,0.8940026760101318,0.964229166507721,0.925086498260498,0.9726310968399048,0.8940026760101318,nan,959.6311495304108,0.997889265965053
6,0.08295916765928268,0.8972183465957642,0.9663550853729248,0.9306409955024719,0.974940299987793,0.8972183465957642,nan,996.482825756073,0.997846873713902
7,0.08095302432775497,0.9019445180892944,0.9685783982276917,0.934743344783783,0.9766431450843811,0.9019445180892944,nan,981.9935810565948,0.9978224516623361
8,0.07942468672990799,0.9042650461196899,0.9698867797851562,0.9385689496994019,0.977715015411377,0.9042650461196899,nan,975.9949882030487,0.9977691850607736
9,0.0781545341014862,0.9062216281890869,0.9706447720527649,0.9401389360427856,0.9784626960754395,0.9062216281890869,nan,954.5061340332031,0.9977683210100446
10,0.0770847275853157,0.9081246256828308,0.9716030955314636,0.9422357678413391,0.9788763523101807,0.9081246256828308,nan,960.6022040843964,0.9977208732060023

11,0.14602889120578766,0.7825838327407837,0.8233831524848938,0.8058979511260986,0.8284372091293335,0.7825838327407837,nan,971.3660497665405,0.9868619763619559
12,0.3321419358253479,0.5,0.5000022053718567,0.5,0.5,0.5,nan,958.9339466094971,0.9583553678240095
13,0.47689419984817505,0.5,0.5,0.5,0.5,0.5,nan,956.7767903804779,0.9583581091417586
14,0.5768008828163147,0.499794065952301,0.5000572204589844,0.4999982714653015,0.5,0.499794065952301,nan,968.3879752159119,0.990883795514788
15,0.6564390659332275,0.5,0.5,0.5,0.5,0.5,nan,954.4386367797852,0.9955288767787388
16,0.722804605960846,0.5,0.5,0.5,0.5,0.5,nan,963.3301863670349,0.9955288767787388
17,0.7789599895477295,0.5,0.5,0.5,0.5,0.5,nan,967.3932645320892,0.9955288767787388
18,0.8270931839942932,0.5,0.5,0.5,0.5,0.5,nan,956.3277051448822,0.9955288767787388
19,0.8688103556632996,0.5,0.5,0.5,0.5,0.5,nan,962.4980154037476,0.9955288767787388
20,0.9053125381469727,0.5,0.5,0.5,0.5,0.5,nan,968.7480874061584,0.9955288767787388

21,0.9375203251838684,0.5,0.5,0.5,0.5,0.5,nan,997.6396942138672,0.9955288767787388
22,0.9661495089530945,0.5,0.5,0.5,0.5,0.5,nan,961.3093090057373,0.9955288767787388
