epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.6388336420059204,0.5,0.5278347134590149,0.5,0.5,0.5,0.5,0.3229250907897949
1,0.548045814037323,0.5,0.5,0.5,0.5,0.5,0.5,0.3170328140258789
2,0.4923238456249237,0.5,0.5,0.5,0.5,0.5,0.5,0.3486781120300293
3,0.4594496488571167,0.5,0.5,0.5,0.5,0.5,0.5,0.32749104499816895
4,0.4354194700717926,0.5,0.5,0.5,0.5,0.5,0.5,0.348402738571167
5,0.4152732193470001,0.5,0.5,0.5,0.5,0.5,0.5065789222717285,0.3033595085144043
6,0.3967604339122772,0.5,0.5,0.5,0.5,0.5,0.6377192735671997,0.2940962314605713
7,0.3792194426059723,0.5,0.5,0.5,0.5602184534072876,0.5,0.8037281036376953,0.3025054931640625
8,0.3628407120704651,0.5,0.5,0.5,0.7270873785018921,0.5,0.8572002649307251,0.29842662811279297
9,0.34786564111709595,0.5,0.5,0.5627123117446899,0.785412609577179,0.5,0.8807383179664612,0.30876612663269043
10,0.3343034088611603,0.5,0.5,0.6982436180114746,0.8304126262664795,0.5,0.8950292468070984,0.30718421936035156
11,0.3219580352306366,0.5,0.5,0.7532443404197693,0.8635194301605225,0.5,0.9126096367835999,0.3076491355895996
12,0.31067711114883423,0.5,0.5,0.7894414663314819,0.8741261959075928,0.5,0.9243055582046509,0.311082124710083
13,0.30027589201927185,0.5,0.5,0.806699275970459,0.8772330284118652,0.5,0.9385964870452881,0.33844804763793945
14,0.29061490297317505,0.5,0.5,0.8348960280418396,0.8990533947944641,0.5515445470809937,0.9399853944778442,0.3535747528076172
15,0.28156518936157227,0.5,0.5,0.8468202352523804,0.9108737707138062,0.5811781287193298,0.9547148942947388,0.34194350242614746
16,0.2730337977409363,0.5,0.5,0.8691228628158569,0.9214805364608765,0.6097341775894165,0.960343599319458,0.4016737937927246
17,0.2649441063404083,0.5,0.5,0.8783801794052124,0.9251941442489624,0.6346982717514038,0.9676169157028198,0.3111283779144287
18,0.2572382986545563,0.5,0.5,0.9054558873176575,0.9276942014694214,0.6607399582862854,0.9774853587150574,0.45885396003723145
19,0.24988389015197754,0.5,0.5,0.9152737855911255,0.9283009767532349,0.6758261322975159,0.9894371032714844,0.48891496658325195
20,0.2428504377603531,0.5104166865348816,0.5104166865348816,0.9201827645301819,0.9314078092575073,0.7191091775894165,0.9910818338394165,0.4626011848449707
21,0.2361224740743637,0.5520833134651184,0.5520833134651184,0.9370158910751343,0.9370145797729492,0.7613146305084229,0.9943712949752808,0.31628990173339844
22,0.2296902984380722,0.5724043846130371,0.5724043846130371,0.9386975169181824,0.9382281303405762,0.797773003578186,0.9960160851478577,0.3136606216430664
23,0.22355015575885773,0.6234631538391113,0.6234631538391113,0.9485154151916504,0.9350485801696777,0.8493175506591797,0.9946272373199463,0.33716750144958496
24,0.21769511699676514,0.6750341653823853,0.6750341653823853,0.9479548931121826,0.9350485801696777,0.8701508641242981,0.9969663619995117,0.3513224124908447
25,0.2121156007051468,0.7057718634605408,0.7057718634605408,0.9523032903671265,0.933155357837677,0.875898003578186,0.9953216314315796,0.3349604606628418
26,0.2067968249320984,0.7370218634605408,0.7370218634605408,0.9555306434631348,0.9387621879577637,0.8816450834274292,0.9953216314315796,0.3869965076446533
27,0.2017286717891693,0.7578551769256592,0.7578551769256592,0.9555306434631348,0.9411892890930176,0.8873922824859619,0.9953216314315796,0.31058192253112793
28,0.19689156115055084,0.7568305730819702,0.7568305730819702,0.9593185186386108,0.9417961239814758,0.9030172824859619,0.9969663619995117,0.30945825576782227
29,0.1922728717327118,0.7558059692382812,0.7558059692382812,0.9593185186386108,0.9424029588699341,0.9243893623352051,0.9969663619995117,0.3193399906158447
30,0.1878594309091568,0.7870559692382812,0.7870559692382812,0.9593185186386108,0.9430097341537476,0.9348060488700867,0.9969663619995117,0.3528468608856201
