epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.6910090446472168,0.48078304529190063,0.5122950673103333,0.5,0.5022815465927124,0.48078304529190063,0.519444465637207,0.3084254264831543
1,0.6202344298362732,0.48282715678215027,0.5,0.48282715678215027,0.5,0.5,0.5,0.30005407333374023
2,0.5515619516372681,0.5,0.5,0.5,0.5,0.5,0.5,0.3044867515563965
3,0.5088516473770142,0.5,0.5,0.5,0.5,0.5,0.5,0.31371092796325684
4,0.47883254289627075,0.5,0.5,0.5,0.5,0.5,0.5,0.3184971809387207
5,0.4542585611343384,0.5,0.5,0.5,0.5,0.5,0.5,0.4633634090423584
6,0.43229666352272034,0.5,0.5,0.5,0.5,0.5,0.5855263471603394,0.30986881256103516
7,0.4121977388858795,0.5,0.5,0.5,0.5678640604019165,0.5,0.7441886067390442,0.33672189712524414
8,0.3940366208553314,0.5,0.5,0.5,0.6701942086219788,0.5,0.8200657367706299,0.33405160903930664
9,0.3777654469013214,0.5,0.5,0.5,0.7398058176040649,0.5,0.859100878238678,0.347703218460083
10,0.36326465010643005,0.5,0.5,0.5463038682937622,0.7817718386650085,0.5,0.8774487972259521,0.3483574390411377
11,0.35033461451530457,0.5,0.5,0.5963955521583557,0.8111650347709656,0.5677083134651184,0.8854166269302368,0.3073554039001465
12,0.3387300670146942,0.5,0.5,0.6254416108131409,0.8392718434333801,0.6066810488700867,0.8971126079559326,0.33521080017089844
13,0.3282144069671631,0.5,0.5,0.6356841921806335,0.8504854440689087,0.6305675506591797,0.9074195623397827,0.32445263862609863
14,0.31859099864959717,0.5,0.5,0.6578509211540222,0.8641990423202515,0.6409841775894165,0.9193713665008545,0.31935930252075195
15,0.30968648195266724,0.5,0.5,0.6659872531890869,0.8766990303993225,0.6404454112052917,0.9294224977493286,0.319307804107666
16,0.3013485372066498,0.5,0.5,0.6978359818458557,0.8816990256309509,0.6659482717514038,0.9345394372940063,0.3056149482727051
